"Id","Id2","State","Total","White","Black or African American","Asian","others"
"0400000US01",1,"Alabama",4817678,3327891,1269808,58322,161657
"0400000US02",2,"Alaska",728300,484195,25148,40976,177981
"0400000US04",4,"Arizona",6561516,5174082,274380,191071,921983
"0400000US05",5,"Arkansas",2947036,2306073,458136,38409,144418
"0400000US06",6,"California",38066920,23650913,2262323,5130536,7023148
"0400000US08",8,"Colorado",5197580,4364911,209062,146561,477046
"0400000US09",9,"Connecticut",3592053,2789105,365871,145842,291235
"0400000US10",10,"Delaware",917060,639354,198028,31745,47933
"0400000US11",11,"District of Columbia",633736,254955,314138,22785,41858
"0400000US12",12,"Florida",19361792,14747196,3114841,490833,1008922
"0400000US13",13,"Georgia",9907756,5989234,3056726,344195,517601
"0400000US15",15,"Hawaii",1392704,350634,26913,529907,485250
"0400000US16",16,"Idaho",1599464,1468732,9334,21749,99649
"0400000US17",17,"Illinois",12868747,9331376,1849054,627402,1060915
"0400000US18",18,"Indiana",6542411,5519313,598423,114674,310001
"0400000US19",19,"Iowa",3078116,2813097,95716,59726,109577
"0400000US20",20,"Kansas",2882946,2457815,167220,72568,185343
"0400000US21",21,"Kentucky",4383272,3845535,345035,53448,139254
"0400000US22",22,"Louisiana",4601049,2890570,1477781,75409,157289
"0400000US23",23,"Maine",1328535,1262817,14865,14610,36243
"0400000US24",24,"Maryland",5887776,3418336,1737155,344956,387329
"0400000US25",25,"Massachusetts",6657291,5326774,465792,384642,480083
"0400000US26",26,"Michigan",9889024,7829621,1383205,258567,417631
"0400000US27",27,"Minnesota",5383661,4585781,290545,230798,276537
"0400000US28",28,"Mississippi",2984345,1769693,1113652,28067,72933
"0400000US29",29,"Missouri",6028076,4991914,695813,101772,238577
"0400000US30",30,"Montana",1006370,899503,4563,6651,95653
"0400000US31",31,"Nebraska",1855617,1637794,86423,35696,95704
"0400000US32",32,"Nevada",2761584,1935379,229638,207610,388957
"0400000US33",33,"New Hampshire",1321069,1239543,16293,30560,34673
"0400000US34",34,"New Jersey",8874374,6094052,1201339,779841,799142
"0400000US35",35,"New Mexico",2080085,1521876,42515,28578,487116
"0400000US36",36,"New York",19594330,12733518,3060048,1522549,2278215
"0400000US37",37,"North Carolina",9750405,6784901,2093389,231830,640285
"0400000US38",38,"North Dakota",704925,628770,10781,8124,57250
"0400000US39",39,"Ohio",11560380,9549343,1407493,208725,394819
"0400000US40",40,"Oklahoma",3818851,2799122,277007,71396,671326
"0400000US41",41,"Oregon",3900343,3317668,70700,152259,359716
"0400000US42",42,"Pennsylvania",12758729,10449680,1395718,377735,535596
"0400000US44",44,"Rhode Island",1053252,856605,66827,32994,96826
"0400000US45",45,"South Carolina",4727273,3176381,1305347,63199,182346
"0400000US46",46,"South Dakota",834708,712496,12642,9433,100137
"0400000US47",47,"Tennessee",6451365,5029109,1082001,98441,241814
"0400000US48",48,"Texas",26092033,19499105,3094227,1067008,2431693
"0400000US49",49,"Utah",2858111,2515352,31163,60631,250965
"0400000US50",50,"Vermont",626358,595385,6435,8200,16338
"0400000US51",51,"Virginia",8185131,5668363,1577943,475632,463193
"0400000US53",53,"Washington",6899123,5392302,250484,518072,738265
"0400000US54",54,"West Virginia",1853881,1735816,59129,13144,45792
"0400000US55",55,"Wisconsin",5724692,4965198,357758,137404,264332
"0400000US56",56,"Wyoming",575251,522535,5958,5377,41381
"0400000US72",72,"Puerto Rico",3638965,2533581,290999,11484,802901
